  20  13 -1.25000000E-03
  21  13 -1.13378685E-03
  22  13 -1.03305785E-03
  23  13 -9.45179586E-04
  24  13 -8.68055557E-04
  25  13 -8.00000001E-04
  26  13 -7.39644972E-04
  27  13 -6.85871058E-04
  28  13 -6.37755103E-04
  29  13 -5.94530322E-04
  30  13 -5.55555557E-04
  15  14 -2.22222222E-03
  16  14 -1.95312500E-03
  17  14 -1.73010381E-03
  18  14 -1.54320988E-03
  19  14 -1.38504155E-03
  20  14 -1.25000000E-03
  21  14 -1.13378685E-03
  22  14 -1.03305785E-03
  23  14 -9.45179585E-04
  24  14 -8.68055556E-04
  25  14 -8.00000001E-04
  26  14 -7.39644972E-04
  27  14 -6.85871057E-04
  28  14 -6.37755103E-04
  29  14 -5.94530322E-04
  30  14 -5.55555557E-04
  16  15 -1.95312500E-03
  17  15 -1.73010381E-03
  18  15 -1.54320988E-03
  19  15 -1.38504155E-03
  20  15 -1.25000000E-03
  21  15 -1.13378685E-03
  22  15 -1.03305785E-03
  23  15 -9.45179584E-04
  24  15 -8.68055556E-04
  25  15 -8.00000000E-04
  26  15 -7.39644971E-04
  27  15 -6.85871057E-04
  28  15 -6.37755103E-04
  29  15 -5.94530322E-04
  30  15 -5.55555556E-04
  17  16 -1.73010380E-03
  18  16 -1.54320988E-03
  19  16 -1.38504155E-03
  20  16 -1.25000000E-03
  21  16 -1.13378685E-03
  22  16 -1.03305785E-03
  23  16 -9.45179584E-04
  24  16 -8.68055555E-04
  25  16 -8.00000000E-04
  26  16 -7.39644971E-04
  27  16 -6.85871056E-04
  28  16 -6.37755102E-04
  29  16 -5.94530321E-04
  30  16 -5.55555556E-04
  18  17 -1.54320988E-03
  19  17 -1.38504155E-03
  20  17 -1.25000000E-03
  21  17 -1.13378685E-03
  22  17 -1.03305785E-03
  23  17 -9.45179584E-04
  24  17 -8.68055555E-04
  25  17 -8.00000000E-04
  26  17 -7.39644970E-04
  27  17 -6.85871056E-04
  28  17 -6.37755102E-04
  29  17 -5.94530321E-04
  30  17 -5.55555556E-04
  19  18 -1.38504155E-03
  20  18 -1.25000000E-03
  21  18 -1.13378685E-03
  22  18 -1.03305785E-03
  23  18 -9.45179584E-04
  24  18 -8.68055555E-04
  25  18 -8.00000000E-04
  26  18 -7.39644970E-04
  27  18 -6.85871056E-04
  28  18 -6.37755102E-04
  29  18 -5.94530321E-04
  30  18 -5.55555556E-04
  20  19 -1.25000000E-03
  21  19 -1.13378685E-03
  22  19 -1.03305785E-03
  23  19 -9.45179584E-04
  24  19 -8.68055555E-04
  25  19 -8.00000000E-04
  26  19 -7.39644970E-04
  27  19 -6.85871056E-04
  28  19 -6.37755102E-04
  29  19 -5.94530321E-04
  30  19 -5.55555556E-04
  21  20 -1.13378685E-03
  22  20 -1.03305785E-03
  23  20 -9.45179584E-04
  24  20 -8.68055555E-04
  25  20 -8.00000000E-04
  26  20 -7.39644970E-04
  27  20 -6.85871056E-04
  28  20 -6.37755102E-04
  29  20 -5.94530321E-04
  30  20 -5.55555555E-04
  22  21 -1.03305785E-03
  23  21 -9.45179584E-04
  24  21 -8.68055555E-04
  25  21 -8.00000000E-04
  26  21 -7.39644970E-04
  27  21 -6.85871056E-04
  28  21 -6.37755102E-04
  29  21 -5.94530321E-04
  30  21 -5.55555556E-04
  23  22 -9.45179584E-04
  24  22 -8.68055556E-04
  25  22 -8.00000000E-04
  26  22 -7.39644970E-04
  27  22 -6.85871056E-04
  28  22 -6.37755102E-04
  29  22 -5.94530321E-04
  30  22 -5.55555556E-04
  24  23 -8.68055555E-04
  25  23 -8.00000000E-04
  26  23 -7.39644970E-04
  27  23 -6.85871056E-04
  28  23 -6.37755102E-04
  29  23 -5.94530321E-04
  30  23 -5.55555556E-04
  25  24 -8.00000000E-04
  26  24 -7.39644970E-04
  27  24 -6.85871056E-04
  28  24 -6.37755102E-04
  29  24 -5.94530321E-04
  30  24 -5.55555555E-04
  26  25 -7.39644970E-04
  27  25 -6.85871056E-04
  28  25 -6.37755102E-04
  29  25 -5.94530321E-04
  30  25 -5.55555555E-04
  27  26 -6.85871056E-04
  28  26 -6.37755102E-04
  29  26 -5.94530321E-04
  30  26 -5.55555556E-04
  28  27 -6.37755102E-04
  29  27 -5.94530321E-04
  30  27 -5.55555556E-04
  29  28 -5.94530321E-04
  30  28 -5.55555555E-04
  30  29 -5.55555555E-04
