   6   0   6   1  1.25862897E-10
   7   1   6   0  9.79494396E+04
   8   1   6   0  6.78286939E+04
   9   1   6   0  4.77074175E+04
  10   1   6   0  3.46832805E+04
  11   1   6   0  2.59769078E+04
  12   1   6   0  1.99534493E+04
  13   1   6   0  1.56574177E+04
  14   1   6   0  1.25120221E+04
  15   1   6   0  1.01564622E+04
  16   1   6   0  8.35750468E+03
  17   1   6   0  6.95990282E+03
  18   1   6   0  5.85761428E+03
  19   1   6   0  4.97653008E+03
  20   1   6   0  4.26379454E+03
  21   1   6   0  3.68101911E+03
  22   1   6   0  3.19986402E+03
  23   1   6   0  2.79909730E+03
  24   1   6   0  2.46259819E+03
  25   1   6   0  2.17797673E+03
  26   1   6   0  1.93560348E+03
  27   1   6   0  1.72791783E+03
  28   1   6   0  1.54892693E+03
  29   1   6   0  1.39383925E+03
  30   1   6   0  1.25879259E+03
   7   0   2   1  4.58890098E+05
   7   0   3   1  3.12983147E+05
   7   0   4   1  2.17492257E+05
   7   0   5   1  1.61809154E+05
   7   0   6   1  1.26577348E+05
   7   0   7   1  5.79674508E-11
   8   1   7   0  4.53708682E+04
   9   1   7   0  3.27450605E+04
  10   1   7   0  2.38171479E+04
  11   1   7   0  1.77988589E+04
  12   1   7   0  1.36407638E+04
  13   1   7   0  1.06833720E+04
  14   1   7   0  8.52387499E+03
  15   1   7   0  6.91036288E+03
  16   1   7   0  5.68047407E+03
  17   1   7   0  4.72649920E+03
  18   1   7   0  3.97509660E+03
  19   1   7   0  3.37515136E+03
  20   1   7   0  2.89029383E+03
  21   1   7   0  2.49416272E+03
  22   1   7   0  2.16733109E+03
  23   1   7   0  1.89526626E+03
  24   1   7   0  1.66694836E+03
  25   1   7   0  1.47391742E+03
  26   1   7   0  1.30960486E+03
  27   1   7   0  1.16885783E+03
  28   1   7   0  1.04759508E+03
  29   1   7   0  9.42555741E+02
  30   1   7   0  8.51112988E+02
   8   0   2   1  3.05564901E+05
   8   0   3   1  2.06787660E+05
   8   0   4   1  1.42027903E+05
   8   0   5   1  1.04048410E+05
   8   0   6   1  8.10855920E+04
   8   0   7   1  6.57342286E+04
   8   0   8   1  2.96112009E-11
   9   1   8   0  2.32815610E+04
